name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,identifiedBy,identificationID,coordinateUncertaintyInMeters,occurrenceRemarks,informationWithheld,identificationRemarks,http://unknown.org/recordId,county,locality,rights,startDayOfYear,http://unknown.org/recordEnteredBy,collectionID,higherClassification,georeferenceSources,individualCount,lifeStage,georeferencedBy,samplingProtocol,accessRights,endDayOfYear,georeferenceRemarks,continent,institutionKey,higherGeography,eventRemarks,fieldNumber,preparations,habitat,georeferenceVerificationStatus,otherCatalogNumbers,sex,locationID,samplingEffort,municipality,elevation,elevationAccuracy,http://unknown.org/language,http://unknown.org/rights,taxonConceptID,http://unknown.org/rightsHolder,associatedSequences,associatedReferences,http://unknown.org/recordID,associatedTaxa,collectionKey,georeferenceProtocol,verbatimElevation,nomenclaturalCode,institutionID,type,ownerInstitutionCode,datasetID,language,disposition,projectId,depth,depthAccuracy,namePublishedInYear,vernacularName,nameAccordingTo,georeferencedDate,acceptedNameUsage,verbatimCoordinateSystem,bibliographicCitation,parentNameUsage,dynamicProperties,recordNumber,fieldNotes,locationAccordingTo,taxonRemarks,previousIdentifications,networkKeys,typeStatus,typifiedName,higherGeographyID,locationRemarks
"Dendroctonus valens LeConte, 1859",-122.247005,37.81942,,gbif,3044738457,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:52:10.198+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-02-18T23:14:23,California,2021,2,18,2021-02-18,2021-02-19T00:23:44.000+00:00,2021-12-08T05:52:10.198+00:00,https://www.inaturalist.org/observations/69776280,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,Damon Tighe,69776280,damontighe,Thu Feb 18 2021 09:40:02 GMT-0800 (PST),iNaturalist research-grade observations,Observations,"Jean St, Oakland, CA, US",3044738457,https://www.inaturalist.org/observations/69776280,218223,69776280,Damon Tighe,iNaturalist,17:40:02Z,Jeff Eickwort,155529702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-118.585105,37.327142,cdround,gbif,3096996552,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:21.381+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-04-17T23:02:33,California,2021,4,12,2021-04-12,2021-04-19T17:04:44.000+00:00,2021-12-08T05:02:21.381+00:00,https://www.inaturalist.org/observations/73805509,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,lkaleidoscope,73805509,lkaleidoscope,Mon Apr 12 2021 18:54:06 GMT-0700 (PDT),iNaturalist research-grade observations,Observations,"Buttermilk Rd, Bishop, CA, US",3096996552,https://www.inaturalist.org/observations/73805509,218223,73805509,lkaleidoscope,iNaturalist,01:54:06Z,Jeff Eickwort,166202762,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-72.559553,44.262915,cdround,gbif,3117781561,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:03:26.470+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-05-15T19:56:18,Vermont,2021,5,13,2021-05-13,2021-08-20T19:50:30.000+00:00,2021-12-08T05:03:26.470+00:00,https://www.inaturalist.org/observations/78597965,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,richardlitt,78597965,richardlitt,Thu May 13 2021 13:23:12 GMT-0400 (EDT),iNaturalist research-grade observations,Observations,"N College St, Montpelier, VT, US",3117781561,https://www.inaturalist.org/observations/78597965,218223,78597965,richardlitt,iNaturalist,17:23:12Z,Jeff Eickwort,174986550,65,Bit me on the stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-72.902429,41.346904,cdround,gbif,3302352836,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:03:57.774+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-05-31T18:39:23,Connecticut,2021,5,22,2021-05-22,2021-06-01T23:27:34.000+00:00,2021-12-08T05:03:57.774+00:00,https://www.inaturalist.org/observations/81068563,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,Steve King,81068563,steve432king,2021/05/22 10:12 PM EDT,iNaturalist research-grade observations,Observations,"432 Ridge Rd, Hamden, CT 06517, USA",3302352836,https://www.inaturalist.org/observations/81068563,218223,81068563,Steve King,iNaturalist,02:12:00Z,Steve King,179359032,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-72.270833,43.603236,cdround,gbif,3330461425,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:50:56.362+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-05-14T11:14:18,Vermont,2021,5,13,2021-05-13,2021-07-20T18:53:55.000+00:00,2021-12-08T05:50:56.362+00:00,https://www.inaturalist.org/observations/78623525,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,rintzezelle,78623525,rintzezelle,Thu May 13 2021 14:22:54 GMT-0400 (EDT),iNaturalist research-grade observations,Observations,"Vermont, US",3330461425,https://www.inaturalist.org/observations/78623525,218223,78623525,rintzezelle,iNaturalist,18:22:54Z,Jeff Eickwort,174609652,27443,NA,Coordinate uncertainty increased to 27443m at the request of the observer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-119.548272,37.32802,cdround,gbif,3408023738,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T06:05:00.842+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-10-30T11:44:03,California,2021,10,29,2021-10-29,2021-10-31T13:49:23.000+00:00,2021-12-08T06:05:00.842+00:00,https://www.inaturalist.org/observations/99746751,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,Chris Cameron,99746751,clifechris,Fri Oct 29 2021 12:28:01 GMT-0700 (PDT),iNaturalist research-grade observations,Observations,"Sierra National Forest, Bass Lake, CA, US",3408023738,https://www.inaturalist.org/observations/99746751,218223,99746751,Chris Cameron,iNaturalist,19:28:01Z,Jeff Eickwort,217411166,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-71.532417,42.289775,cdround,gbif,3415584330,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:19:21.153+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2021-11-11T18:56:51,Massachusetts,2021,11,8,2021-11-08,2021-11-12T00:10:51.000+00:00,2021-12-08T05:19:21.153+00:00,https://www.inaturalist.org/observations/100783649,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,Alex Karasoulos,100783649,radbackedsalamander,Mon Nov 08 2021 14:59:52 GMT-0500 (EST),iNaturalist research-grade observations,Observations,"Middle Rd, Southborough, MA, US",3415584330,https://www.inaturalist.org/observations/100783649,218223,100783649,Alex Karasoulos,iNaturalist,19:59:52Z,Jeff Eickwort,220126989,10,under bark of eastern white pine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-72.509606,46.39943,cdround,gbif,2898527515,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:34.205+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2020-10-01T22:55:09,Québec,2020,5,26,2020-05-26,2020-12-22T17:35:55.000+00:00,2021-12-08T05:01:34.205+00:00,https://www.inaturalist.org/observations/61433589,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,CA,Canada,Nicolas Bédard,61433589,nickbedard,2020/05/26 6:29 PM EDT,iNaturalist research-grade observations,Observations,"Sainte-Marthe-du-Cap, Trois-Rivières, QC, Canada",2898527515,https://www.inaturalist.org/observations/61433589,218223,61433589,Nicolas Bédard,iNaturalist,22:29:00Z,Nicolas Bédard,134008183,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-70.996726,42.66116,cdround,gbif,3090630557,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T04:58:32.895+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2020-03-06T03:13:15,Massachusetts,2017,5,16,2017-05-16,2020-05-23T19:30:39.000+00:00,2021-12-08T04:58:32.895+00:00,https://www.inaturalist.org/observations/28500704,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,US,United States of America,solomon hendrix,28500704,nomolosx,2017/05/16 3:07 PM EDT,iNaturalist research-grade observations,Observations,"Boxford, MA, USA",3090630557,https://www.inaturalist.org/observations/28500704,218223,28500704,solomon hendrix,iNaturalist,19:07:00Z,Jeff Eickwort,89425174,9273,NA,NA,"It's a weird angle, but I believe it's this. Compare here: https://bugguide.net/node/view/1043695/bgimage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
"Dendroctonus valens LeConte, 1859",-72.114968,47.473506,cdround,gbif,1836653813,"Dendroctonus valens LeConte, 1859",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T04:57:49.688+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,1228028,1,54,216,1470,4239,1228020,1228028,1228028,"Dendroctonus valens LeConte, 1859",Animalia,Arthropoda,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus valens,Dendroctonus,valens,SPECIES,ACCEPTED,2018-03-19T02:21:54,Québec,2017,6,10,2017-06-10,2018-03-20T22:56:54.000+00:00,2021-12-08T04:57:49.688+00:00,https://www.inaturalist.org/observations/10302925,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Insecta,CA,Canada,Nicolas Bédard,10302925,nickbedard,Sat Jun 10 2017 22:20:51 GMT-0400 (GMT-4),iNaturalist research-grade observations,Observations,"Lac-Croche QC, , QC, CA",1836653813,https://www.inaturalist.org/observations/10302925,218223,10302925,Nicolas Bédard,iNaturalist,01:20:51Z,Nicolas Bédard,22881012,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
